id,area,origem,entregavel_relacionado,tarefa,descricao,prioridade,status,criterio_de_aceite,dependencias
T001,Escopo,PRD e Proposta,Relatorio IEEE,Confirmar escopo do enunciado,"Garantir que o trabalho cobre M-QAM, M-PSK, AWGN, banda passante, NRZ, RRC, constelacoes e BER teorica.",Alta,A fazer,"Todos os requisitos do enunciado aparecem no PRD e na proposta.",Nenhuma
T002,Parametros,PRD,Codigo Python,Definir parametros globais,"Configurar fc=10 Hz, os=4, fs=40 Hz, Eb/N0=[0,4,8,12,16,20,24] dB, alpha=0.15.",Alta,A fazer,"Parametros aparecem de forma unica e rastreavel no codigo e no relatorio.",T001
T003,Metodologia,PRD,Relatorio IEEE,Declarar hipotese para Ts,"Declarar Ts=1/fc e SPS=4, justificando a discretizacao adotada.",Alta,A fazer,"Relatorio informa explicitamente a hipotese de Ts e SPS.",T002
T004,Transmissor,PRD,Codigo Python,Gerar bits aleatorios,"Gerar bits equiprovaveis e garantir tamanho multiplo de b.",Alta,A fazer,"Bits sao agrupados sem sobra para cada modulacao.",T002
T005,Transmissor,PRD,Codigo Python,Implementar M-PSK,"Implementar M=2,4,8,16 com simbolos no circulo unitario.",Alta,A fazer,"Constelacoes PSK possuem M pontos e energia media normalizada.",T004
T006,Transmissor,PRD,Codigo Python,Implementar M-QAM,"Implementar M=4,16,64 com grades quadradas normalizadas.",Alta,A fazer,"Constelacoes QAM possuem M pontos e energia media normalizada.",T004
T007,Teoria,PRD,Codigo Python e Relatorio IEEE,Avaliar Gray coding,"Decidir entre implementar mapeamento Gray ou declarar comparacao aproximada com teoria Gray.",Alta,A fazer,"Relatorio explica o mapeamento usado e sua relacao com curvas teoricas.",T005;T006
T008,Pulsos,PRD,Codigo Python,Implementar pulso NRZ,"Criar pulso retangular com energia discreta normalizada.",Alta,A fazer,"Soma de |p[n]|^2 igual a 1 dentro de tolerancia numerica.",T002
T009,Pulsos,PRD,Codigo Python,Implementar pulso RRC,"Criar filtro raiz do cosseno levantado com alpha=0.15 e energia normalizada.",Alta,A fazer,"Pulso RRC normalizado e sem singularidades numericas.",T002
T010,Banda passante,PRD,Codigo Python,Implementar upconversion,"Gerar x(t)=sqrt(2)xIcos(2pifct)-sqrt(2)xQsin(2pifct).",Alta,A fazer,"Sinal passante real e com ramos I/Q corretamente combinados.",T008;T009
T011,Canal,PRD,Codigo Python,Adicionar AWGN,"Calcular Eb=Ex/b, N0=Eb/(Eb/N0), sigma^2=N0/2 e somar ruido gaussiano.",Alta,A fazer,"Variancia do ruido muda corretamente para cada Eb/N0.",T010
T012,Receptor,PRD,Codigo Python,Implementar downconversion,"Multiplicar sinal recebido pelas portadoras coerentes para recuperar I e Q.",Alta,A fazer,"Ramos I e Q sao recuperados antes do filtro casado.",T011
T013,Receptor,PRD,Codigo Python,Implementar filtro casado,"Aplicar h[n]=conj(p[::-1]) e compensar atraso de filtragem.",Alta,A fazer,"Amostras coletadas aparecem proximas dos pontos ideais em alto Eb/N0.",T012
T014,Receptor,PRD,Codigo Python,Amostrar em kTs,"Extrair amostras a cada SPS apos compensar delay.",Alta,A fazer,"Numero de amostras corresponde ao numero de simbolos transmitidos.",T013
T015,Decisor,PRD,Codigo Python,Implementar decisor euclidiano,"Associar cada amostra ao ponto de constelacao mais proximo.",Alta,A fazer,"Indices detectados pertencem ao intervalo [0,M-1].",T014
T016,Metricas,PRD,Codigo Python,Calcular BER simulada,"Comparar bits transmitidos e recebidos para cada combinacao de M, pulso e Eb/N0.",Alta,A fazer,"Tabela de BER contem todos os cenarios exigidos.",T015
T017,Teoria,PRD,Codigo Python,Calcular BER teorica,"Implementar formulas teoricas para BPSK, M-PSK e M-QAM quadrada.",Alta,A fazer,"Curvas teoricas sao calculadas para os mesmos valores de Eb/N0.",T002
T018,Figuras,PRD e Proposta,Relatorio IEEE,Plotar constelacoes transmitidas,"Gerar constelacoes ideais para todas as modulacoes exigidas.",Media,A fazer,"Arquivos PNG salvos com nomes rastreaveis.",T005;T006
T019,Figuras,PRD e Proposta,Relatorio IEEE,Plotar constelacoes recebidas,"Gerar amostras recebidas apos amostragem para pelo menos valores representativos de Eb/N0.",Alta,A fazer,"Constelacoes recebidas mostram dispersao coerente com o nivel de ruido.",T014
T020,Figuras,PRD e Proposta,Relatorio IEEE,Plotar BER QAM,"Gerar graficos BER simulada e teorica para 4-QAM, 16-QAM e 64-QAM.",Alta,A fazer,"Grafico contem curvas simuladas e teoricas de QAM.",T016;T017
T021,Figuras,PRD e Proposta,Relatorio IEEE,Plotar BER PSK,"Gerar graficos BER simulada e teorica para BPSK, QPSK, 8-PSK e 16-PSK.",Alta,A fazer,"Grafico contem curvas simuladas e teoricas de PSK.",T016;T017
T022,Validacao,PRD,Codigo Python,Validar modo teste,"Rodar primeiro QPSK ou 4-QAM com NRZ e Eb/N0 reduzido para confirmar pipeline.",Alta,A fazer,"BER cai com Eb/N0 e constelacao recebida fica coerente.",T016
T023,Validacao,PRD,Codigo Python,Rodar modo final,"Executar simulacao com numero elevado de bits para reduzir zeros estatisticos.",Alta,A fazer,"Curvas finais possuem tendencia estatistica adequada.",T022
T024,Relatorio,Proposta,Relatorio IEEE,Escrever introducao,"Apresentar objetivo, contexto de BER e comparacao entre modulacoes.",Alta,A fazer,"Introducao conecta eficiencia espectral e robustez ao ruido.",T001
T025,Relatorio,Proposta,Relatorio IEEE,Escrever fundamentacao teorica,"Incluir I/Q, AWGN, energia por bit, filtro casado e formulas teoricas de BER.",Alta,A fazer,"Equacoes principais aparecem com notacao consistente.",T017
T026,Relatorio,Proposta,Relatorio IEEE,Escrever metodologia,"Descrever pipeline da simulacao do transmissor ao decisor.",Alta,A fazer,"Leitor consegue reproduzir o experimento a partir da metodologia.",T002;T016
T027,Relatorio,Proposta,Relatorio IEEE,Inserir resultados numericos,"Adicionar constelacoes, curvas BER e tabela/resumo dos achados.",Alta,A fazer,"Todas as figuras obrigatorias aparecem no artigo.",T018;T019;T020;T021
